,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,North Carolina,Nebraska,New Hampshire,New Jersey,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia
StateAbbrev,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,NE,NH,NJ,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
2/28/1998,136691,88475,73287,121030,173983,159443,161206,193455,138455,110183,113620,236030,84100,128515,127597,105727,82199,82667,92121,173211,156207,99429,102924,114580,89169,78517,121572,93207,119184,171653,170913,122416,99608,70291,149305,99560,131422,105484,90233,100400,101948,171007,125621,111931,156471,107510,63462
3/31/1998,136355,88925,73509,121546,175514,160169,162316,194032,138657,110715,114205,235584,84500,128405,127494,105994,82338,83191,92537,174769,156566,98925,103517,115166,89459,78847,121903,93486,119973,171884,171496,122818,99998,70685,149725,99788,131741,105969,90123,100927,102398,171760,125933,112648,157654,107878,63243
4/30/1998,136883,89184,73583,121953,176820,160700,162632,193974,138841,110835,114571,235864,84812,128364,127451,106480,82451,83595,92865,175959,156710,98993,104077,115601,89742,79100,122245,93606,120751,172215,171727,122881,100327,70942,149963,99922,131954,106410,90503,101217,102522,172237,126104,113596,158314,108336,63203
5/31/1998,137285,89433,73779,122379,177999,161338,163254,194580,138904,111029,115047,236821,85143,128357,127387,106629,82675,84011,93544,177130,156838,99145,104620,116140,90043,79262,122726,93987,121427,172469,171877,123085,100644,71231,150331,100036,132000,107020,91133,101531,102729,172336,126497,114198,159021,108640,63345
6/30/1998,138409,89673,74079,122842,179220,161978,163781,195285,139015,111180,115591,238070,85454,128273,127321,105531,82982,84397,94249,178336,156855,99350,105237,116592,90372,79680,123266,94540,122162,172766,172315,123290,100981,71521,150780,100128,132150,107518,91887,101863,102937,172375,126895,114728,159770,108898,63536
7/31/1998,139588,90041,74462,123405,180326,162925,164232,195829,139033,111393,116176,239545,85777,128311,127604,104209,83292,84737,95134,179434,156845,99542,105863,117212,90713,80107,123821,95160,122971,173056,172648,123373,101371,71820,151285,100226,132422,108135,92679,102155,103238,172410,127277,115169,160706,109135,63862
8/31/1998,140769,90333,74810,124055,181529,163966,164725,196951,139213,111697,116746,240260,86119,128383,128785,103362,83603,85071,95721,180569,156975,99926,106465,117806,90971,80601,124259,95632,123997,173468,172991,123696,101768,72165,151826,100473,132897,108704,93707,102474,103468,172548,127572,116076,161840,109480,64141
9/30/1998,141489,90713,75087,124672,182838,165148,165318,198398,139538,112170,117291,240502,86484,128576,130485,103518,83937,85415,96262,181815,157214,100396,107075,118707,91167,80966,124668,96108,125060,174007,173066,124103,102173,72550,152257,100763,133436,109216,94058,102831,103683,172719,127766,116884,163240,109914,64560
10/31/1998,142091,91040,75340,125276,184223,166241,166163,200834,139951,112726,117860,240125,86758,128724,132735,103912,84304,85792,96767,183145,157379,101041,107703,119549,91417,80442,125139,96579,126103,174722,173355,124756,102618,72943,152811,101109,133987,109568,94460,103273,103750,172782,128016,117663,164434,110272,64808
11/30/1998,143475,91372,75479,125844,185496,167242,167156,202069,140511,113132,118458,239842,87078,128949,134654,104259,84727,86083,97267,184711,157429,101400,108334,120386,91750,79858,125588,96998,126961,175375,173688,125134,103039,73229,153172,101287,134355,109780,95056,103622,103784,173025,128219,118031,165457,110712,64886
12/31/1998,144615,91613,75594,126427,186579,168296,167989,202666,141141,113452,119017,239510,87439,129161,136122,104777,85101,86347,97640,185969,157597,101805,108979,121117,92140,79277,126017,97403,127757,176069,173897,125524,103392,73428,153709,101386,134716,110033,95884,103951,103789,173137,128584,118508,166213,111114,64740
1/31/1999,146450,91879,75531,126817,187852,169320,168518,202010,141766,113556,119467,239491,87837,129345,136792,104946,85415,86401,98000,187755,158000,102363,109483,122007,92518,79547,126326,97663,128490,176695,173742,125709,103652,73552,153830,101447,134849,110423,97022,104040,104010,173164,128912,118979,166621,111699,64531
2/28/1999,147658,92183,75561,127233,189200,170669,168898,201996,142404,113783,119949,239590,88246,129656,137165,105058,85763,86578,98345,189631,158584,103152,110118,123143,92942,79844,126726,97977,129301,177503,173570,126132,103931,73784,154079,101579,135240,110965,99505,104135,104499,173081,129313,119503,167096,112281,64450
3/31/1999,148957,92527,75569,127717,190613,172097,169569,202442,142976,114057,120529,239449,88610,129922,137549,104953,86158,86755,98757,191797,159083,104067,110726,124441,93388,80249,127110,98344,130303,178432,173594,126586,104270,74057,154209,101761,135627,111491,102758,104223,105171,173134,129734,119775,167627,112887,64320
